id,company,category,stipend_inr,deadline_in_days,trust_score,scam_risk_score,skills_required,listed_date
1,TCS,Data Science,21681,10,73.57,38.19,"machine learning, python, sql, statistics",2026-03-14
2,Freshworks,Product Management,16012,22,66.99,39.49,"sql, analytics, communication, stakeholder management",2026-02-22
3,Zomato,Software Engineering,19664,11,40.83,55.57,"git, react, nodejs, python",2026-05-13
4,Unacademy,UI/UX Design,15087,10,39.49,54.3,"user research, prototyping, design systems, figma",2026-05-23
5,Freshworks,Software Engineering,25354,39,56.67,41.94,"java, git, react, python",2026-03-13
6,Cognizant,Cybersecurity,5000,26,65.45,26.9,"linux, siem, threat analysis, python",2026-03-31
7,Freshworks,Software Engineering,28307,18,47.03,66.26,"git, java, sql, react",2026-03-04
8,Swiggy,UI/UX Design,8980,14,77.46,23.7,"wireframing, design systems, prototyping, figma",2026-04-20
9,BrowserStack,Data Analytics,8578,40,70.76,38.0,"sql, tableau, python, power bi",2026-03-27
10,Practo,UI/UX Design,22547,13,73.78,14.66,"user research, design systems, figma, prototyping",2026-02-18
11,Zomato,Cloud Engineering,5000,41,90.4,17.46,"gcp, docker, aws, python",2026-04-24
12,Zomato,AI/ML,27687,23,87.35,15.61,"python, tensorflow, statistics, llms",2026-07-01
13,Zoho,Software Engineering,35965,8,81.51,32.83,"java, nodejs, sql, git",2026-06-20
14,Meesho,Data Analytics,8552,23,89.97,22.9,"communication, excel, power bi, python",2026-06-04
15,Urban Company,AI/ML,29080,13,54.27,48.38,"pytorch, python, statistics, tensorflow",2026-03-04
16,Freshworks,Software Engineering,16829,7,84.0,3.13,"nodejs, sql, java, git",2026-02-24
17,Khatabook,Data Analytics,22398,19,40.53,57.41,"tableau, sql, python, communication",2026-03-12
18,Deloitte,Cloud Engineering,31045,36,49.17,41.53,"kubernetes, aws, docker, terraform",2026-03-15
19,Cognizant,Product Management,7101,24,45.13,50.44,"analytics, communication, sql, stakeholder management",2026-02-28
20,Razorpay,UI/UX Design,27562,40,44.38,40.68,"wireframing, user research, prototyping, design systems",2026-03-03
21,PhonePe,Data Analytics,15908,25,9.44,83.09,"python, excel, sql, power bi",2026-07-04
22,Paytm,Data Science,42157,7,73.49,18.57,"sql, pandas, python, numpy",2026-03-05
23,Postman,Data Science,16324,15,46.64,59.84,"machine learning, pandas, numpy, sql",2026-04-23
24,Cognizant,AI/ML,13374,3,39.18,52.22,"tensorflow, python, pytorch, mlops",2026-03-13
25,Zomato,Cybersecurity,12731,15,35.45,74.07,"network security, siem, python, threat analysis",2026-07-01
26,Byju's,Data Science,25792,11,69.48,37.05,"statistics, numpy, machine learning, pandas",2026-04-29
27,Google,Software Engineering,12000,6,78.95,25.16,"nodejs, sql, react, git",2026-05-12
28,Amazon,Software Engineering,10760,7,66.1,43.94,"java, sql, nodejs, python",2026-03-26
29,KPMG,Cybersecurity,33488,40,46.97,45.51,"threat analysis, python, linux, network security",2026-05-18
30,Zomato,Product Management,13540,51,85.24,0.5,"stakeholder management, sql, communication, roadmapping",2026-04-02
31,Zomato,Cybersecurity,22890,40,47.68,61.82,"linux, siem, network security, threat analysis",2026-06-16
32,Juspay,Product Management,18278,16,90.11,3.26,"sql, stakeholder management, roadmapping, communication",2026-03-05
33,Paytm,Cybersecurity,5000,5,54.7,53.89,"threat analysis, network security, siem, python",2026-06-07
34,Wipro,Cybersecurity,10879,31,64.64,44.56,"siem, linux, threat analysis, network security",2026-02-16
35,IBM,AI/ML,19862,43,52.63,44.62,"tensorflow, statistics, pytorch, python",2026-06-25
36,PwC,Cloud Engineering,18468,29,70.08,23.94,"gcp, docker, terraform, python",2026-04-01
